,season,team,position,player_id
179,2024,CLE,LB,00-0032129
180,2024,PHI,TE,00-0032134
181,2024,CLE,TE,00-0032141
182,2024,SF,OL,00-0032145
183,2024,LAC,LB,00-0032146
184,2024,SF,OL,00-0032151
185,2024,TEN,QB,00-0032156
186,2024,SF,DL,00-0032162
187,2024,JAX,DL,00-0032164
188,2024,JAX,DB,00-0032195
189,2024,TB,LB,00-0032197
190,2024,LV,OL,00-0032203
191,2024,ATL,WR,00-0032208
192,2024,SEA,WR,00-0032211
193,2024,DAL,LB,00-0032215
194,2024,TEN,LB,00-0032221
195,2024,KC,OL,00-0032222
196,2024,NE,LS,00-0032228
197,2024,SEA,OL,00-0032234
198,2024,LA,OL,00-0032242
199,2024,HOU,DL,00-0032265
200,2024,WAS,QB,00-0032268
201,2024,SF,DB,00-0032320
202,2024,PIT,LB,00-0032366
203,2024,IND,DL,00-0032378
204,2024,LAC,DB,00-0032379
205,2024,HOU,OL,00-0032380
206,2024,DET,OL,00-0032381
207,2024,IND,OL,00-0032383
208,2024,CLE,OL,00-0032384
209,2024,TB,WR,00-0032385
210,2024,SEA,DL,00-0032387
211,2024,BUF,LB,00-0032388
212,2024,KC,OL,00-0032391
213,2024,NE,TE,00-0032392
214,2024,TEN,TE,00-0032394
215,2024,DET,OL,00-0032395
216,2024,ARI,WR,00-0032398
217,2024,PIT,DB,00-0032399
218,2024,SF,LB,00-0032401
219,2024,PIT,DL,00-0032412
220,2024,ATL,LB,00-0032415
221,2024,BUF,DL,00-0032416
222,2024,DET,DL,00-0032424
223,2024,NYJ,OL,00-0032432
224,2024,SF,QB,00-0032434
225,2024,WAS,QB,00-0032436
226,2024,MIN,LB,00-0032437
227,2024,PIT,LB,00-0032442
228,2024,CIN,OL,00-0032445
229,2024,DET,DL,00-0032463
230,2024,DET,WR,00-0032464
231,2024,SEA,OL,00-0032466
232,2024,BUF,LS,00-0032497
233,2024,CIN,DB,00-0032521
234,2024,CLE,OL,00-0032528
235,2024,DEN,K,00-0032569
236,2024,BAL,DL,00-0032574
237,2024,NE,DB,00-0032580
238,2024,SEA,DL,00-0032667
239,2024,LAC,DL,00-0032671
240,2024,MIA,WR,00-0032688
241,2024,SF,OL,00-0032701
242,2024,HOU,K,00-0032726
243,2024,IND,LS,00-0032753
244,2024,CIN,DL,00-0032759
245,2024,KC,DL,00-0032762
246,2024,BUF,DL,00-0032763
247,2024,BAL,RB,00-0032764
248,2024,LV,OL,00-0032768
249,2024,KC,DB,00-0032774
250,2024,LA,WR,00-0032775
251,2024,ATL,WR,00-0032791
252,2024,DET,QB,00-0032792
253,2024,NYJ,DB,00-0032803
254,2024,CAR,DL,00-0032889
255,2024,PHI,DB,00-0032890
256,2024,TEN,DB,00-0032891
257,2024,DAL,LB,00-0032892
258,2024,MIN,RB,00-0032918
259,2024,ATL,DB,00-0032933
260,2024,CIN,DB,00-0032939
261,2024,WAS,DB,00-0032942
262,2024,DEN,P,00-0032943
263,2024,KC,QB,00-0032950
264,2024,IND,WR,00-0032951
265,2024,PIT,OL,00-0032954
266,2024,BAL,OL,00-0032965
267,2024,ATL,DB,00-0032971
268,2024,CLE,WR,00-0032977
269,2024,TEN,WR,00-0033009
270,2024,WAS,DL,00-0033010
271,2024,NYJ,OL,00-0033011
272,2024,HOU,DB,00-0033038
273,2024,MIA,WR,00-0033040
274,2024,DAL,RB,00-0033045
275,2024,MIN,LB,00-0033046
276,2024,CAR,DB,00-0033047
277,2024,ATL,DL,00-0033051
278,2024,MIA,DB,00-0033055
279,2024,CLE,OL,00-0033057
280,2024,NO,LS,00-0033063
281,2024,IND,DL,00-0033064
282,2024,PHI,OL,00-0033065
283,2024,CHI,DL,00-0033066
284,2024,SF,DL,00-0033072
285,2024,MIA,DL,00-0033073
286,2024,DAL,QB,00-0033077
287,2024,NO,OL,00-0033082
288,2024,MIA,DB,00-0033084
289,2024,NE,TE,00-0033090
290,2024,MIN,DL,00-0033093
291,2024,CAR,DL,00-0033096
292,2024,SEA,DB,00-0033103
293,2024,DET,QB,00-0033106
294,2024,SF,DL,00-0033109
295,2024,LA,TE,00-0033110
296,2024,NE,QB,00-0033119
297,2024,GB,DL,00-0033120
298,2024,NE,DL,00-0033123
299,2024,SF,DL,00-0033131
300,2024,CHI,DB,00-0033132
301,2024,LAC,DL,00-0033156
302,2024,MIA,LS,00-0033196
303,2024,SF,LS,00-0033199
304,2024,IND,TE,00-0033217
305,2024,TEN,OL,00-0033221
306,2024,MIN,TE,00-0033246
307,2024,ARI,WR,00-0033251
308,2024,NYJ,LS,00-0033260
309,2024,IND,P,00-0033269
310,2024,SEA,QB,00-0033275
311,2024,SF,RB,00-0033280
312,2024,BAL,DB,00-0033281
313,2024,BUF,WR,00-0033282
314,2024,MIA,LB,00-0033283
315,2024,CAR,OL,00-0033284
316,2024,SF,TE,00-0033288
317,2024,NYG,OL,00-0033290
318,2024,SF,WR,00-0033292
319,2024,MIN,RB,00-0033293
320,2024,NYJ,DB,00-0033294
